n;k;m
1931;100;204
1932;100;216
1933;100;207
1934;100;199
1935;100;203
1936;100;215
1937;100;204
1938;100;215
1939;100;208
1940;100;210
1941;100;221
1942;100;204
1943;100;207
1944;100;206
1945;100;206
1946;100;208
1947;100;211
1948;100;211
1949;100;203
1950;100;216
1951;100;203
1952;100;205
1953;100;202
1954;100;200
1955;100;216
1956;100;212
1957;100;218
1958;100;205
1959;100;203
1960;100;204
1961;100;204
1962;100;207
1963;100;215
1964;100;205
1965;100;196
1966;100;208
1967;100;203
1968;100;206
1969;100;212
1970;100;204
1971;100;216
1972;100;210
1973;100;207
1974;100;201
1975;100;207
1976;100;205
1977;100;214
1978;100;207
1979;100;204
1980;100;207
1981;100;217
1982;100;208
1983;100;208
1984;100;203
1985;100;210
1986;100;217
1987;100;202
1988;100;211
1989;100;207
1990;100;213
1991;100;206
1992;100;208
1993;100;212
1994;100;209
1995;100;215
1996;100;209
1997;100;212
1998;100;214
1999;100;207
2000;100;207
2001;100;207
2002;100;213
2003;100;206
2004;100;206
2005;100;213
2006;100;203
2007;100;205
2008;100;214
2009;100;213
2010;100;205
2011;100;215
2012;100;211
2013;100;220
2014;100;209
2015;100;206
2016;100;216
2017;100;212
2018;100;209
2019;100;211
2020;100;209
2021;100;217
2022;100;205
2023;100;212
2024;100;204
2025;100;223
2026;100;224
2027;100;209
2028;100;213
2029;100;211
2030;100;210
2031;100;213
2032;100;210
2033;100;208
2034;100;217
2035;100;218
2036;100;211
2037;100;205
2038;100;217
2039;100;207
2040;100;206
2041;100;205
2042;100;209
2043;100;215
2044;100;213
2045;100;206
2046;100;211
2047;100;202
2048;100;219
2049;100;207
2050;100;209
2051;100;209
2052;100;213
2053;100;221
2054;100;210
2055;100;215
2056;100;219
2057;100;208
2058;100;219
2059;100;216
2060;100;206
2061;100;218
2062;100;209
2063;100;214
2064;100;208
2065;100;213
2066;100;208
2067;100;208
2068;100;212
2069;100;212
2070;100;199
2071;100;211
2072;100;214
2073;100;206
2074;100;210
2075;100;227
2076;100;215
2077;100;212
2078;100;205
2079;100;214
2080;100;216
2081;100;211
2082;100;215
2083;100;208
2084;100;216
2085;100;207
2086;100;213
2087;100;205
2088;100;225
2089;100;206
2090;100;203
2091;100;211
2092;100;216
2093;100;207
2094;100;212
2095;100;210
2096;100;211
2097;100;212
2098;100;206
2099;100;218
2100;100;215
2101;100;210
2102;100;214
2103;100;215
2104;100;215
2105;100;210
2106;100;209
2107;100;212
2108;100;215
2109;100;206
2110;100;217
2111;100;209
2112;100;220
2113;100;212
2114;100;214
2115;100;213
2116;100;205
2117;100;205
2118;100;214
2119;100;213
2120;100;202
2121;100;212
2122;100;206
2123;100;211
2124;100;202
2125;100;213
2126;100;218
2127;100;209
2128;100;210
2129;100;217
2130;100;214
2131;100;209
2132;100;200
2133;100;210
2134;100;211
2135;100;216
2136;100;213
